COCO_val2014_000000217153#0	一个男人和一个女人穿着军装玩手机。
COCO_val2014_000000330432#0	青青草地上有一列蓝白色相间的火车
COCO_train2014_000000483442#0	一群在草地旁的湖边上饮水的斑马
COCO_train2014_000000479929#0	一匹披着白色遮挡物的马正在草地上吃草
COCO_val2014_000000446462#0	一个人在烤箱前拍照，烤箱里有许多面包
COCO_val2014_000000245112#0	放在架子上蓝色牙刷和红色牙刷
COCO_train2014_000000555998#0	桌子上放着一个手机、一副眼镜、一个钱包和一个笔记本
COCO_train2014_000000168627#0	一个人在泥泞的土地上骑着摩托车
COCO_train2014_000000546825#0	一个女人正在看着一只黑色的猫
COCO_val2014_000000137003#0	一个小女孩拿着风筝站在草地上
COCO_train2014_000000534220#0	许多人站在沙滩上，天空中有三个滑翔伞
COCO_train2014_000000029909#0	一个人手里拿着四个牙刷，另一只手拿着牙膏
COCO_val2014_000000383748#0	教堂里摆放着一个大钟表，上面挂着一些装饰品
COCO_train2014_000000379865#0	几个年轻男子正在滑板场上玩滑板特技
COCO_train2014_000000476585#0	一间干净整洁的卧室里有一张床和台灯
COCO_train2014_000000508092#0	在棒球比赛中一个击球手正在准备击球
COCO_train2014_000000181305#0	两个人撑着伞走在石板路的黑白照片
COCO_val2014_000000470766#0	许多人在公园的草坪上放风筝
COCO_train2014_000000060136#0	两男个人坐在沙发上玩电子游戏，一个女人站在他们旁边
COCO_val2014_000000074629#0	在草地上有一匹马拉着一辆马车，旁边有许多人
COCO_train2014_000000522479#0	一个老式蒸汽火车停在铁轨上
COCO_val2014_000000149197#0	监狱的一间破旧的房间里有一张床和一把椅子
COCO_train2014_000000553422#0	一个白色的花瓶里插着两个假花
COCO_train2014_000000532635#0	一个女人正在给一个撑着油纸伞拍照
COCO_val2014_000000400975#0	墙上挂着一块木制的钟表，钟表上有鸟的图案
COCO_train2014_000000446882#0	一架在空中的美国喷气式战斗机在空中飞行
COCO_train2014_000000497528#0	厨房里的一个银色的柜子里有许多餐具
COCO_train2014_000000138270#0	一间有两个窗户的干净整洁的浴室
COCO_train2014_000000411329#0	一群在太阳底下行走的大象
COCO_val2014_000000102275#0	蓝天白云下的草地上有一群长颈鹿和一只斑马
COCO_val2014_000000281397#0	停满了车的街道的黑白照片
COCO_train2014_000000254925#0	木制的桌子上有一个键盘和一个显示器，一个男人头靠在桌子上
COCO_train2014_000000563376#0	一个人牵着几匹马拉着一辆马车的黑白照片
COCO_train2014_000000157045#0	一间整洁的浴室里有一个白色的水池和白色的马桶
COCO_train2014_000000065404#0	一个女人在一个足球场上踢足球
COCO_train2014_000000475580#0	城市的街道上有一辆红色的公交车
COCO_train2014_000000437520#0	一个戴着眼镜的男人站在厨房里
COCO_train2014_000000282015#0	一个戴着头盔的人骑着一辆越野摩托车穿过土路
COCO_train2014_000000421618#0	集市上一个女人正在贩卖香蕉
COCO_train2014_000000468713#0	一匹棕色的马卧在海边的沙滩上
COCO_train2014_000000008321#0	一个人正在使用笔记本电脑
COCO_train2014_000000296793#0	一只猫坐在窗户边望着窗外
COCO_val2014_000000547502#0	草地上有一群小狗在玩飞盘
COCO_train2014_000000499952#0	两个人正在网球场上打网球
COCO_train2014_000000441546#0	海边的沙滩上有许多人在放风筝
COCO_train2014_000000381192#0	桌子上放着许多笔记本电脑
COCO_train2014_000000432806#0	一个女孩坐在地毯上和一只白色的狗在看电视
COCO_train2014_000000080535#0	公园里有三只长颈鹿站在草地上
COCO_train2014_000000510211#0	一个男人在网球场上打网球
COCO_train2014_000000501284#0	一个穿着西装的男人的黑白照片
COCO_train2014_000000146589#0	一个人牵着一匹黑白相间的马
COCO_train2014_000000307825#0	湖面上有一个男人站在小船上钓鱼
COCO_val2014_000000382350#0	在一场棒球比赛中击球手正在击球
COCO_val2014_000000009002#0	一个人手里拿着一块披萨饼
COCO_train2014_000000564232#0	许多马拉着一辆马车的黑白照片
COCO_train2014_000000546117#0	一辆绿色的公交车正在街道上行驶
COCO_val2014_000000248276#0	一个人手里拿着一个白色的甜甜圈
COCO_train2014_000000514131#0	一个男人坐在花园中的长椅上
COCO_val2014_000000576305#0	一个小女孩躺在一个木制的长椅上
COCO_val2014_000000559315#0	一辆公交车停靠在公交车站，许多乘客正在准备上车
COCO_val2014_000000215627#0	一群人正在餐厅里聚会吃蛋糕
COCO_train2014_000000005505#0	一群人正在建筑物旁的街道上行走
COCO_val2014_000000000474#0	一个戴着手套的小男孩在草地上玩耍
COCO_train2014_000000449508#0	在城市的河流上有一艘小船
COCO_train2014_000000467447#0	一间干净整洁的厨房里有一些橱柜
COCO_train2014_000000272351#0	一间整洁的卫生间里有一面镜子
COCO_train2014_000000170476#0	一个男人正在游泳池中玩飞盘
COCO_train2014_000000400737#0	一个男人正在网球场上打网球
COCO_val2014_000000270706#0	一个男人和一个女人站在客厅里玩电子游戏
COCO_val2014_000000375219#0	一群人在草地间的道路上骑自行车
COCO_val2014_000000479195#0	道路边有一个蓝色与红色相间的消防栓
COCO_val2014_000000322610#0	城市的街道上有许多人在行走
COCO_train2014_000000285023#0	三只长颈鹿站在一起，其中一只把头靠在了石头上
COCO_train2014_000000007307#0	在一场网球比赛中一名网球运动员正在击球
COCO_train2014_000000532200#0	四个人站在沙滩上正在放风筝
COCO_val2014_000000482007#0	墙边有许多透明的花瓶里插满了黄色的鲜花
COCO_train2014_000000105332#0	草地上一只戴着白色帽子的狗的特写镜头
COCO_train2014_000000148747#0	一名滑雪运动员正在空中做特技动作
COCO_train2014_000000169510#0	集市上有许多人在房屋前卖香蕉
COCO_train2014_000000130037#0	一只黑色的熊正站在水中玩耍
COCO_train2014_000000372122#0	一只橘色的猫正在窗户边望着窗外
COCO_train2014_000000472320#0	桌子上摆满了各种各样的食物
COCO_train2014_000000451131#0	一个房间中有一个电视机和一台钢琴
COCO_val2014_000000136941#0	在草地旁的路上站着一群牛
COCO_val2014_000000390759#0	棕色身体、白头的三头奶牛站在一起吃食料
COCO_val2014_000000009105#0	一个穿着西装打着粉色领带的男人
COCO_train2014_000000318467#0	一只狗蹲在一个绿色沙发下的大坑旁
COCO_train2014_000000109591#0	白色、黄色、黑白相间等多只猫的图片组合
COCO_val2014_000000280858#0	一只黄色的大狗坐在一把木制的桌子旁边
COCO_train2014_000000360813#0	两个男运动员在垒球球场上投球
COCO_train2014_000000552444#0	两个穿着黑色衣服的女人拿着手机在拍照
COCO_val2014_000000262985#0	一艘白色的帆船停在码头上
COCO_val2014_000000172935#0	一张一个人在滑雪的黑白模糊照片
COCO_train2014_000000027241#0	在欧美赛场上棒球手做好准备击打棒球
COCO_train2014_000000162747#0	发散式的照片一列火车进入车站
COCO_train2014_000000344894#0	一个锈迹斑斑的长椅静悄悄的等待着
COCO_train2014_000000091576#0	黄色扶手的凳子下边有一个香蕉皮和空易拉罐
COCO_val2014_000000334566#0	一台笔记本电脑放在电脑桌上
COCO_val2014_000000308889#0	一辆双层的公交车行驶在街道上
COCO_train2014_000000319188#0	海边的灯塔与两只飞翔的大雁交相呼应
COCO_train2014_000000025765#0	白色基调的厨房里有一个黑色的烤箱、微波炉和立式大冰箱
COCO_train2014_000000561453#0	白色盘子里放着两块夹肉的汉堡
COCO_val2014_000000108283#0	一个废弃的厕所里有一个马桶
COCO_train2014_000000511693#0	白色房间有一张白色的桌子和几把黑色的椅子
COCO_train2014_000000133788#0	一只花猫坐在一个红色的行李箱上
COCO_val2014_000000064915#0	多个棕色的旧行李箱堆在店门口
COCO_val2014_000000188290#0	一个火车头停留在临时站台
COCO_train2014_000000015595#0	近处木桩的映衬下一匹斑马在远处吃草
COCO_train2014_000000371735#0	一个带着眼镜的男人在网球场上打网球
COCO_train2014_000000273560#0	生日蛋糕放在桌上工具放在一侧
COCO_val2014_000000310121#0	一家人在厨房一起分享一个大面包
COCO_train2014_000000509565#0	两只大象在水池边悠闲地散步
COCO_train2014_000000049283#0	黑白照片中一辆卡车在街道上行驶
COCO_train2014_000000558817#0	橡皮泥捏成的蛋糕形状的食物
COCO_train2014_000000526953#0	一个网球运动员高高跳起来准备击球
COCO_train2014_000000352180#0	游行队伍的人们在街道上行走
COCO_train2014_000000099536#0	街道上一辆白色的古典马车在拉客人行驶
COCO_train2014_000000115604#0	几个男人和一个女人在厨房里准备食物
COCO_val2014_000000509503#0	路边的街道上有一个禁止停车标志
COCO_train2014_000000047409#0	卫生间有一个洗手池、马桶、淋浴喷头
COCO_train2014_000000085018#0	几个人在树林里的小路上徒步行走
COCO_train2014_000000512007#0	房子里有一个电视，一个洗手台
COCO_train2014_000000253323#0	一辆白色的公交车在公路上行驶
COCO_train2014_000000120718#0	一个男人站在公交车站台准备上车
COCO_train2014_000000121952#0	一个女人坐在摆满手机和枪的桌子旁边喝酒
COCO_train2014_000000440107#0	一艘船在两岸长满树的河流上行驶
COCO_train2014_000000538105#0	一列红黑相间的火车在铁轨上行驶
COCO_train2014_000000151979#0	一个女人在网球场上准备发球
COCO_val2014_000000240393#0	桌子上趴着一只黑色的小狗
COCO_train2014_000000458083#0	一只猫趴在一个毛绒玩具熊旁边
COCO_val2014_000000321496#0	桌子上放着几盘食物和一瓶酒
COCO_train2014_000000535788#0	两只相互靠在一起的长劲鹿后面的特写镜头
COCO_train2014_000000183848#0	一个女孩在围栏外看长颈鹿
COCO_train2014_000000458143#0	一个男人在动物园里喂长颈鹿
COCO_val2014_000000494580#0	盘子里放着一些薯条和一些炸鱼
COCO_train2014_000000265150#0	一个古老的建筑物上有一个巨大的钟表
COCO_train2014_000000342718#0	厨房里有白色的橱柜和银色的烤箱
COCO_train2014_000000283059#0	厨房里有一个木制的柜子和一台冰箱
COCO_train2014_000000336770#0	一辆蓝白相间的火车在铁轨上行驶
COCO_train2014_000000461916#0	洗手间里有一个白色的浴缸
COCO_train2014_000000502425#0	红黑相间的水管上有一个白色的消防栓
COCO_val2014_000000510152#0	一个人在白雪覆盖的山坡上滑雪
COCO_train2014_000000191803#0	一架飞机在机场跑道上行驶
COCO_train2014_000000362231#0	从笔记本电脑后面露出了一只黑白相间的猫
COCO_train2014_000000112614#0	天空中有许多五颜六色的风筝在飞翔
COCO_train2014_000000419353#0	人们坐在粉色大象上看金字塔
COCO_train2014_000000518235#0	从窗口中露出了白色的帘子
COCO_train2014_000000193631#0	一间屋子有红色的墙上挂着一幅画
COCO_train2014_000000004578#0	一个男人坐着屋里的桌子旁吃东西
COCO_train2014_000000462052#0	有很多斑马站在动物园的围栏里
COCO_val2014_000000186991#0	一只斑马正站在草地上吃草
COCO_val2014_000000460781#0	一个男人正在雪地里玩高难度的滑板
COCO_train2014_000000515701#0	一个老头骑着摩托车停在路边
COCO_train2014_000000263503#0	厨房里摆放着各种各样的厨具
COCO_train2014_000000214699#0	一群人骑着大象在森林里行走
COCO_train2014_000000353378#0	桌子上有个精美的浅蓝色蛋糕
COCO_train2014_000000106952#0	有一座行驶着列车的跨海大桥在海中央
COCO_train2014_000000565365#0	有一筐打折处理的绿色蔬菜
COCO_train2014_000000453250#0	两个男孩正在沙地上练习打棒球
COCO_train2014_000000492291#0	家门口的花园草地里有一棵果树
COCO_train2014_000000193077#0	各式各样的广告牌在路边挂着
COCO_val2014_000000110881#0	一间商铺门前停放着两辆摩托车
COCO_val2014_000000208423#0	排满车辆的马路上空有许多不同颜色的风筝
COCO_train2014_000000187986#0	一行人在卡车后的草地上支着帐篷吃烧烤
COCO_train2014_000000338281#0	一位银色头发的小男孩拿着牙刷刷牙
COCO_train2014_000000561953#0	托盘里放着一份加满调料的肉和一杯饮料
COCO_train2014_000000086581#0	沙发上放着一个单反相机和一个笔记本电脑以及一些数据线
COCO_val2014_000000115680#0	草地上站着一群长着犄角的牛
COCO_val2014_000000028676#0	几个年轻的男孩在建筑物前的草地上玩飞盘
COCO_train2014_000000331982#0	摩托车的后视镜里倒映着一辆黑色的吉普车
COCO_val2014_000000496307#0	一个男孩在吃放在面前的披萨
COCO_train2014_000000514002#0	一直小猫咪站在凳子的椅背上
COCO_train2014_000000395853#0	几位穿着正装的工作人员在合影
COCO_val2014_000000420090#0	草地上有两个骑着马的人旁边有一只小狗
COCO_train2014_000000086221#0	坐在餐桌前吃饭的几位女士其中一个在打电话
COCO_train2014_000000554490#0	一位穿着白上衣蓝色短裙的女孩在打网球
COCO_train2014_000000381619#0	一群人站在草地上放着五颜六色的风筝
COCO_train2014_000000154443#0	围栏里的沙地上站着两只长颈鹿和两匹斑马
COCO_train2014_000000222600#0	抽水马桶的水箱上放着两卷卫生纸
COCO_train2014_000000513351#0	鼠标垫上有一个白色的鼠标旁边放着一杯咖啡
COCO_train2014_000000197251#0	黄色的餐盘里放着薯条和一些面包
COCO_val2014_000000169936#0	飞机的机翼外是蓝色的天空和白色的云朵
COCO_train2014_000000534140#0	床上的铺着一个红色花纹的床单
COCO_train2014_000000284047#0	白色的卫生间中放着一个白色的抽水马桶
COCO_train2014_000000150746#0	一只黄色花纹的猫卧在一个老式电视机上
COCO_val2014_000000243849#0	一只汉堡中夹着鸡蛋奶酪和肉
COCO_train2014_000000180055#0	卫生间的洗手池上放着各种用品
COCO_train2014_000000552234#0	一位戴着绿色头盔的棒球运动员在挥动着棒球棒
COCO_val2014_000000255912#0	白色的盘子里放着绿色的菜叶和一只夹着肉的三明治
COCO_val2014_000000133927#0	一个穿着蓝色短袖的男孩在网球场拿着网球拍
COCO_train2014_000000223621#0	有一列火车穿过一片茂密的森林
COCO_train2014_000000092096#0	一只狗在草地上玩飞盘，还有一些游客
COCO_train2014_000000254267#0	一个干净整洁的厨房里摆放着一个冰箱
COCO_val2014_000000195271#0	厨房里有一个女人在准备食物
COCO_train2014_000000029559#0	一个座位旁边放着几台电风扇
COCO_val2014_000000542234#0	一只海鸥在海平面上飞过，日落时
COCO_train2014_000000120790#0	泳池旁边有一辆红色的公交车
COCO_train2014_000000458673#0	一个打伞的女人在街道上拍照
COCO_train2014_000000405053#0	一个蓝色的盘子里放着一个巧克力甜甜圈
COCO_train2014_000000023368#0	几只长颈鹿在围场的草地上散步
COCO_train2014_000000174573#0	一只猫趴在笔记本电脑键盘上
COCO_train2014_000000276105#0	一个字母拼成的风筝的黑白照片
COCO_val2014_000000087479#0	几个人在公园的沙地上玩飞盘
COCO_train2014_000000019622#0	一个人在雪地上滑雪，滑雪板飞过地面
COCO_train2014_000000310655#0	一块巧克力蛋糕放在白色的盘子里
COCO_train2014_000000471929#0	一只黑色的斑点狗站在草地上
COCO_train2014_000000268067#0	一个干净整洁的厨房里有橱柜
COCO_train2014_000000040181#0	许多棕色的泰迪熊坐在一起
COCO_val2014_000000567640#0	几个男孩子在足球场上踢足球
COCO_val2014_000000325894#0	花店的橱窗里陈列着各种各样的鲜花
COCO_val2014_000000056137#0	水果店里陈列着各种各样的水果
COCO_train2014_000000225828#0	一只手拿着一个巧克力甜甜圈的黑白照片
COCO_train2014_000000564247#0	一只玻璃水杯里插着一束鲜花
COCO_train2014_000000322972#0	一个男人和一个男人抱着冲浪板走在海滩上
COCO_train2014_000000518774#0	许多人在广场上玩耍，天上有一只彩色的风筝
COCO_val2014_000000181139#0	沙滩上有许多人在伞下休息
COCO_val2014_000000173208#0	盘子里有一些炒菜和两个烧饼
COCO_train2014_000000137757#0	盘子里有一块牛排和一碟酱汁
COCO_train2014_000000136088#0	苹果电脑旁放着一杯星巴克咖啡
COCO_val2014_000000291655#0	墙上有一个透明花瓶，里面插着一束鲜花
COCO_train2014_000000198424#0	两个人骑着摩托车在公路上行驶
COCO_train2014_000000232143#0	一个房子里有一张蓝色的小床
COCO_train2014_000000065841#0	宾馆的房间里放着两张双人床
COCO_train2014_000000078681#0	山间有一片绿色的草坪和一片茂密的森林
COCO_val2014_000000144438#0	几个人在室外的餐馆吃比萨饼
COCO_train2014_000000395445#0	一个男人坐在沙发上使用笔记本电脑
COCO_train2014_000000437481#0	一个维修工打着伞站在桥上
COCO_train2014_000000341015#0	一个男人玩着冲浪板在海上冲浪
COCO_val2014_000000335864#0	一个窗户外停着一辆白色的汽车
COCO_val2014_000000239229#0	一个穿着黑色衣服的女人站在一个墙前
COCO_train2014_000000558707#0	一个斑马在草地上吃草，后面有几块石头
COCO_train2014_000000525424#0	一个蓝色的盘子里放着几个橙子
COCO_train2014_000000115144#0	一只小鸟栖息在一棵茂密的树上
COCO_val2014_000000298562#0	一个玻璃花瓶里插着一束鲜花
COCO_val2014_000000268996#0	一个高楼前有一个许多标识的牌子
COCO_train2014_000000230238#0	一个青花瓷容器在博物馆的架子上
COCO_val2014_000000258322#0	一个男人手里拿着一个手机
COCO_val2014_000000271032#0	河旁边的石头上有许多鸭子
COCO_val2014_000000531163#0	下过雨的街道上有许多巴士车
COCO_val2014_000000390238#0	一个人手里拿着一盒披萨饼
COCO_train2014_000000139758#0	一个客厅里有一张沙发和茶几
COCO_train2014_000000298354#0	一个卧室里有一张床，床上有几只猫
COCO_train2014_000000493873#0	厨房的桌子上放着一个搅拌机和几只杯子
COCO_val2014_000000514773#0	桌子上放着一台笔记本电脑，旁边有一个摄像机
COCO_train2014_000000259595#0	一个小孩在洗手间里，妈妈在帮他刷牙
COCO_train2014_000000517921#0	一个男人站在草地上，有一辆摩托车在他旁边
COCO_train2014_000000004502#0	几个女孩在草地上打网球，远处有一座风车
COCO_val2014_000000490701#0	一个人在用叉子吃蛋糕，喝饮料
COCO_val2014_000000026907#0	一个小男孩带着棒球手套站在屋子里
COCO_val2014_000000231402#0	马路上有一辆黄色的货车和白色的汽车
COCO_train2014_000000516084#0	夕阳下有一个男人骑在马上走在海滩上
COCO_val2014_000000425805#0	一块披萨旁边有一瓶酒，后面有一幅画
COCO_val2014_000000102329#0	一个女人站在滑雪板上，在雪地上滑雪
COCO_train2014_000000108313#0	一个男孩在道路上玩滑板，做特技动作
COCO_val2014_000000170519#0	一只斑马和两只长颈鹿在围场里
COCO_val2014_000000011567#0	一个网球选手在网球场上打网球
COCO_train2014_000000253487#0	一个女人和一匹白马合影的黑白照片
COCO_train2014_000000112385#0	沙滩上一个人在清理冲浪板
COCO_train2014_000000039905#0	道路上有一辆红色的双层巴士
COCO_train2014_000000519906#0	两个人骑着摩托车在赛道上比赛
COCO_val2014_000000067002#0	商场里有一个女人在买零食
COCO_train2014_000000385803#0	一个选手骑着一匹马飞奔在赛道上
COCO_train2014_000000038432#0	许多人在办公室里使用笔记本电脑
COCO_val2014_000000550322#0	餐桌上有一个桶放着一把剪刀和几个勺子
COCO_val2014_000000386457#0	一只灰白相间的猫趴在木头的门上
COCO_val2014_000000349430#0	三个男人抱着冲浪板站在海滩上
COCO_train2014_000000159453#0	一只花猫躺在棕色的沙发上睡觉
COCO_train2014_000000271038#0	一个古老的建筑物上有一个巨大的钟
COCO_train2014_000000524369#0	两只长颈鹿站在野外的草地上
COCO_train2014_000000039016#0	一只狗趴在一个女人的身上，他们坐在长椅上休息
COCO_train2014_000000496353#0	一个穿着西装打着领带的男人的特写镜头
COCO_val2014_000000083557#0	一个草地上有一条小路，旁边有一个长椅
COCO_val2014_000000315868#0	道路旁边有一辆黑色的摩托车
COCO_train2014_000000010867#0	废弃的墙前有一个红色的消防栓
COCO_train2014_000000549873#0	一个卧室里有一张很漂亮的床
COCO_val2014_000000375015#0	一只棕色的熊趴在草地的石头上
COCO_train2014_000000368476#0	一个穿着蓝色恤的男人在草地上玩飞盘
COCO_train2014_000000280926#0	桌子上摆放着各种各样的杂乱的物品
COCO_val2014_000000038828#0	一个女人骑着一匹棕色的马在草地上散步
COCO_val2014_000000513136#0	一个白色的盘子里放着一块比萨饼
COCO_train2014_000000562433#0	一间干净整洁的客厅里摆放着沙发茶几和电视，天花板上挂着电风扇
COCO_train2014_000000228211#0	杂乱的电脑桌上蹲着一只黄色的猫
COCO_val2014_000000107800#0	一群人在火车站台上准备登上一辆蓝色的火车
COCO_train2014_000000267042#0	三台打开的黑色笔记本电脑并排放在桌子上
COCO_val2014_000000224542#0	一辆深色的皮卡车前放着一个彩色的滑翔伞
COCO_val2014_000000086696#0	展厅里放着一套棕红色的橱柜
COCO_val2014_000000361948#0	一个穿短袖衬衫的男人和一个穿着花衬衫的女人背对着镜头坐在人行道边的长椅上
COCO_train2014_000000402384#0	一个戴着头盔穿着短装的年轻人在空旷的道路上玩滑板
COCO_train2014_000000034397#0	一间宽大的客厅里有几张沙发和一个摆满了酒瓶的长木柜
COCO_train2014_000000562082#0	一个穿着牛仔裤的小男孩在沙滩上玩一个彩色圆环
COCO_train2014_000000036273#0	几个人穿着夏装在城市公园的草地上玩飞盘
COCO_val2014_000000131108#0	一个旧城区的街道的黑白照片
COCO_train2014_000000009064#0	一辆略显陈旧的火车停在火车站
COCO_val2014_000000503101#0	聚会上一个在看手机的男人和一个女人
COCO_train2014_000000095494#0	一个古老的建筑物上有一座钟塔
COCO_train2014_000000304691#0	一个站在游泳池边上的女子肩上落着两只鹦鹉
COCO_val2014_000000290196#0	一群人在山林中的雪地上行走
COCO_train2014_000000266441#0	两名男子在草地上抢一个白色的飞盘
COCO_train2014_000000228461#0	公里边上的红色消防栓和限速标志牌
COCO_train2014_000000417230#0	两名穿着黑色制服的巡警各自骑着一匹棕色的马
COCO_train2014_000000511026#0	街边的一个水果摊门前摆满了香蕉
COCO_val2014_000000543043#0	一辆红色的轿车停在售货亭前的路上
COCO_train2014_000000007932#0	网球场上一个女孩在和一个人打球
COCO_val2014_000000103931#0	草地上一个爸爸领着一个小男孩在放风筝
COCO_train2014_000000521003#0	一辆双层的公交车停在站台上等待乘客上车
COCO_val2014_000000015303#0	一个在大海上迎着浪花冲浪的男人
COCO_val2014_000000330022#0	一朵红黄色的塑料花束插在绿色的椭圆花瓶中
COCO_train2014_000000500782#0	一款诺基亚的手机特写和文字说明
COCO_val2014_000000259858#0	黄色围墙和房子围起的羊圈中有一群羊和两只鸡
COCO_train2014_000000210258#0	平静的湖面上一艘小船驶过划出一道水波
COCO_val2014_000000347253#0	机场停机坪旁停着一架小飞机
COCO_train2014_000000371300#0	雪山背景前的一个铜的滑雪雕像
COCO_train2014_000000062691#0	洗手间的镜子前男人们在刮胡子洗脸穿衣服
COCO_train2014_000000332755#0	大海上一个男人在海里冲浪
COCO_train2014_000000414954#0	一个手里拿着网球拍的女人双腿叉开站在红色的台子上
COCO_train2014_000000422479#0	一个小街道旁有一个红色醒目STOP标识牌
COCO_train2014_000000431627#0	一个穿着灰色体恤的男人正坐在换鞋凳上穿轮滑鞋
COCO_train2014_000000473641#0	一个人在白雪覆盖的山坡上滑雪
COCO_train2014_000000463684#0	相框里一个带着帽子的女人踩着滑雪板站在雪地里
COCO_train2014_000000383461#0	一个戴眼睛的男人站在一排白色的行李箱旁
COCO_train2014_000000158647#0	一个白色的含有多个插口的电子仪器
COCO_val2014_000000036149#0	五个男人的房间里有两个男人坐在一张桌子上下国际象棋
COCO_train2014_000000525876#0	一个穿着蓝色上衣的男人坐在桌子上吃披萨
COCO_val2014_000000468022#0	一个男人看着一个穿着红色衣服人端着一盘蛋糕
COCO_val2014_000000135671#0	一群人带着头盔的人骑着摩托车在街道上行驶
COCO_train2014_000000185236#0	盘子里放着西兰花和一些蔬菜
COCO_train2014_000000529036#0	两个人正在网球场上打网球
COCO_train2014_000000301121#0	一个穿着黄色衣服的人坐在一个长椅上
COCO_train2014_000000288507#0	一个键盘旁边有一只手拿着一个鼠标
COCO_val2014_000000422221#0	一群人在观看一只张大嘴的大象
COCO_train2014_000000038310#0	一群长颈鹿站在一片树林旁的草地上
COCO_train2014_000000316536#0	一个坐在凳子上的带着帽子的男人和一头棕色的动物
COCO_train2014_000000459715#0	一个带着眼镜穿着西装打着领带的男人正在微笑
COCO_train2014_000000365488#0	一个带有白色斑点的绿色容器里有一些植物
COCO_train2014_000000495625#0	一个干净的厕所里有一个马桶
COCO_train2014_000000074403#0	一个白色盘子里放着西兰花和肉
COCO_train2014_000000257615#0	一个盘子里放着热狗和炸薯条以及一杯饮料
COCO_val2014_000000398563#0	西兰花和胡萝卜以及肉等食物
COCO_train2014_000000362568#0	一个穿着黑色衣服的女人拿着一个手机
